,Beginning Cash Balance,OpCo - ebitda,OpCo - capex,TLB - interest expense,TLB - amortization,TLB - prepayment,Equity - sweep
2024-06-30,-34436161.34023714,71501462.99704398,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-07-31,-16730941.358996784,297569531.02472293,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-08-31,227042346.6499225,566367869.27694,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-09-30,739613972.9110589,73409487.13604306,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-10-31,759227217.0312984,-26868085.232713386,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-11-30,678562888.7827815,2219048.163312755,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-12-31,626985693.9302907,9904479.698975192,-42201491.92657676,-11594751.089226862,-66735122.64,-516358807.97346234,0.0
2025-01-31,0.0,89063579.11334166,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-02-28,37338775.91207379,59289305.50697157,-40175820.31410108,-8679281.436159553,0.0,-0.0,0.0
2025-03-31,47772979.66878473,27446710.29497578,-44480372.490611926,-8679281.436159553,0.0,-0.0,0.0
2025-04-30,22060036.036989033,15868143.04930001,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-05-31,-13796624.11497883,26327058.88216767,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-06-30,-39194368.43407903,74722600.79064026,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-07-31,-16196570.844706634,295033659.74712694,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-08-31,227112285.7011524,544159554.1334007,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-09-30,719547036.6332852,76678199.37731513,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-10-31,744500432.8093324,-28732509.20763161,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-11-30,664043120.4004328,-1261377.598573086,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-12-31,611056939.6005918,10253045.136502542,-43045521.76510832,-8679281.436159553,-66735122.64,-502850058.89582634,0.0
2026-01-31,0.0,85741552.05487195,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-02-28,36003764.32598106,58321779.12593344,-40979336.720383115,-5831355.528480421,0.0,-0.0,0.0
2026-03-31,47514851.203050956,28956175.089644995,-45369979.940424174,-5831355.528480421,0.0,-0.0,0.0
2026-04-30,25269690.82379136,16286967.663853887,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-05-31,-8181129.241245645,25907254.131366514,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-06-30,-32011662.838770024,80207950.60543755,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-07-31,-1541499.9622233687,305274938.07952505,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-08-31,253995650.3884108,544704355.1695495,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-09-30,748962217.8290694,79472821.95521447,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-10-31,778697252.055393,-30821957.770892214,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-11-30,698137506.5556098,663723.4899613047,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-12-31,649063442.3166802,11997581.82931301,-43906432.20041047,-5831355.528480421,-66735122.64,-544588113.7771024,0.0
2027-01-31,0.0,82719302.904776,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-02-28,35160002.713962406,58643183.63864092,-41798923.45479078,-2774739.3463949086,0.0,-0.0,0.0
2027-03-31,49229523.55141763,31428935.53714862,-46277379.53923265,-2774739.3463949086,0.0,-0.0,0.0
2027-04-30,31606340.202938687,16839980.862103425,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-05-31,887020.8742285101,25503350.28029795,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-06-30,-21168929.036287136,79666499.23743191,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-07-31,10938270.01033118,285123681.63890207,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-08-31,248502651.45841962,563118537.6957514,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-09-30,764061888.9633574,78674340.17584877,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-10-31,795176928.9483926,-33004881.367015198,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-11-30,714612747.3905638,2314492.854628108,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-12-31,669367940.0543784,14420107.806907829,-44784560.84441869,-2774739.3463949086,-66735122.64,-488212746.63898176,-81280878.39149088
