,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,Financials $(mm),2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31
10,Ancillary Services Revenue,1.5312052600000001,0.7956444400000002,1.3724055899999998,1.0986161700000001,1.158415,1.0437458699999997,1.25006065,1.1089295999999997,1.0211214600000003,1.4202640400000002,1.12381269,-0.17345338,0.89667263,0.88461715,0.90035881,0.9896693349234946,1.0641646138894947,0.9612428442639965,1.155106440303954,1.0183053989643327,1.0638650827776677,1.5856230158234228,1.209630366291606,1.1253265470707676,1.242191523925715,0.9488862828857451,0.9705765884291886,0.9894627701366774,1.0638298055671536,0.9610852156475689,1.1546150757339109,1.0180495372267948,1.0635307900977846,1.584390517472654,1.2090451388468098,1.1248864485520607,1.2218230578591207,0.9445552998009675,0.9650596125377705,0.9829131266507376,1.0532138860716354,0.9560872135355474,1.13903515620847,1.0099368129411828,1.0529312203118195,1.5453111326514373,1.1904890665333134,1.1109320449935731,1.195192396414034,0.9388927750002283,0.9578464666540941,0.9743498240588875,1.039334148781202,0.9495525976389991,1.118665258894298,0.9993298672271012,1.0390728593772884,1.494216962709847,1.1662280113357533,1.0926874213867093,1.1698466750756986,0.9335034692945889,0.9509813579553329,0.9661997042552007,1.02612411438765,0.943333279583062,1.0992782173039073,0.9892347109023395,1.025883169921884,1.445588106981893,1.143137561792121,1.0753231081939667,1.1464744632835269,0.9285337944258591,0.9446507914529292,0.9586841822607555,1.0139426610564726,0.9375982201280215,1.0814007209002476,0.9799255999661063,1.0137204773983766,1.4007456698654694,1.1218450181747504,1.0593108432381237
11,Misc Income,-0.049841159999999995,0.16512816999999994,0.01658257000000001,0.06937769999999997,0.2864839599999999,-0.13072505,0.10408072000000008,0.14629831999999995,-0.06715585000000003,-0.03993775999999987,0.04516672000000015,0.03778740000000003,-0.21481728999999997,-0.12749055,-0.04446813000000001,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999
12,Total Other Inciome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gross Margin,56.88635479999999,45.69787441,53.06496550000001,42.22109235,47.539913559999995,40.79348454,43.59401458000001,43.62485185,41.70367523999999,43.171813619999995,35.425035599999994,46.585495849999994,41.82705367,35.60966904,28.867233909999996,28.974345934917615,29.69163347780473,27.645842788724785,36.047185478110045,33.96169720730994,29.414811601392653,27.59897127906202,31.739332211883394,36.30893680755478,49.192901562047766,44.83290829216669,38.30545649715376,31.749151490354315,27.668886465622826,37.963161177298204,50.3973202784304,46.09363134927467,39.29467767369182,37.27653564291355,39.06316421764869,45.93061294780037,59.20546432610378,50.34065472281351,42.18145908780091,37.35899335052066,36.01011088427326,28.730877256265437,37.71835582013176,36.07525141882347,27.885026744785492,24.827468105346732,26.046095874487033,31.920842190588957,51.95571028875166,43.99280540889541,35.32014500908865,31.110198328463774,28.350350369572865,28.316362509946558,38.12210731229575,35.91626554921569,27.64844519808199,25.518661510977218,25.662283372984138,29.910455944845474,48.78076469104717,42.91900775629754,36.476043893789914,31.050163917473043,28.57768087102506,28.57610096624937,38.96176189160788,35.601561361126905,29.37369893792306,28.98358590992872,28.48318825176777,30.606897594179415,50.971524767657314,42.804701469384995,35.37993906903206,26.798281434960145,25.82813917174802,28.219237999314398,37.53643639325548,34.21192771492733,28.884410262837076,28.24003914168231,27.800272809056196,30.08066071004255
14,Labor Expenses,-3.57772501,-2.6830444099999995,-5.084112869999999,-3.8699805300000003,-3.6692037099999992,-3.5867565900000002,-3.6717600900000003,-3.54445299,-3.60989613,-5.39624308,-2.42885823,-2.62711096,-3.126386309999999,-3.8418467599999997,-3.58726366,-3.4814159705744987,-4.816791157052491,-3.4814159705744987,-3.4814159705744987,-3.4814159705744987,-3.4814159705744987,-4.816791157052491,-3.4814159705744987,-3.4814159705744987,-3.581772559204245,-3.7526812972887984,-3.567422559204245,-3.567422559204245,-4.942354989151879,-3.567422559204245,-3.567422559204245,-3.567422559204245,-3.567422559204245,-4.942354989151879,-3.567422559204245,-3.567422559204245,-3.671316873184351,-3.8464983297210185,-3.6566081231843506,-3.6566081231843506,-5.065913863880676,-3.6566081231843506,-3.6566081231843506,-3.6566081231843506,-3.6566081231843506,-5.065913863880676,-3.6566081231843506,-3.6566081231843506,-3.763099795013959,-3.9426607879640425,-3.748023326263959,-3.748023326263959,-5.192561710477693,-3.748023326263959,-3.748023326263959,-3.748023326263959,-3.748023326263959,-5.192561710477693,-3.748023326263959,-3.748023326263959,-3.8571772898893077,-4.041227307663143,-3.8417239094205575,-3.8417239094205575,-5.322375753239635,-3.8417239094205575,-3.8417239094205575,-3.8417239094205575,-3.8417239094205575,-5.322375753239635,-3.8417239094205575,-3.8417239094205575,-3.95360672213654,-4.142257990354722,-3.9377670071560718,-3.9377670071560718,-5.455435147070625,-3.9377670071560718,-3.9377670071560718,-3.9377670071560718,-3.9377670071560718,-5.455435147070625,-3.9377670071560718,-3.9377670071560718
15,Maintenance,-2.7445357400000026,-3.6524894300000015,-3.31961531,-8.101533510000001,-5.392765150000006,-2.740873139999999,-3.2791649500000006,-2.0164164200000005,-2.9905531200000013,-10.08723181,-3.0766588699999953,-3.7674230299999993,-2.0538397199999996,-2.7956959200000013,-2.6789452600000008,-2.602065443888889,-3.4701520658888882,-2.4791063133888884,-2.385736015888889,-2.1588028608888887,-4.910305198388888,-7.86790423138889,-4.295169195888889,-5.522062193388885,-2.74116278955,-2.223947606425,-3.12989152179275,-4.4877278034375,-3.836166316425,-3.29173899245975,-2.430517756425,-3.756788703925,-5.439187643708374,-6.534570359687498,-4.646621385175,-4.4921019785535,-2.3055711239785937,-2.290979308585625,-3.1572427414244673,-4.80110713500828,-3.380588614835625,-3.225831256246092,-2.433661374835625,-4.363612157023125,-5.179633104656085,-7.2973024186624995,-4.375454382804375,-6.721565161352166,-2.4053217577709667,-2.3893549985502633,-3.1992048245895055,-4.226210807195986,-3.3877321299565133,-3.9089707812853667,-2.5348545499565134,-4.277531965698701,-6.208593172624984,-7.722460819553107,-5.545689582124481,-6.493683143485208,-2.4417028741052422,-2.4252869472640217,-3.606457519900645,-4.121335664836825,-3.2819159419554285,-3.488839330942113,-2.570038811955428,-2.4150600735911705,-3.6101498099231106,-5.5728461500028725,-2.7654745604275957,-4.964694617171949,-2.4866807693386344,-5.154034988450384,-6.142739887459326,-6.705604346462506,-5.840470630509074,-3.3519283377955693,-2.4936061805090746,-2.43737189543571,-3.4702081546335917,-5.617280293757707,-2.764156766943047,-4.787432299481152
16,Operations,-1.2193888400000001,-1.05858087,-1.4406600200000004,-1.7588674500000006,-1.441981780000001,-1.973422909999999,-1.9608814099999978,-2.76391288,-1.246125570000002,-1.9292981399999996,-1.3032729900000015,-2.7234989700000005,-1.64981934,-1.3165546400000006,-2.6323946100000004,-3.1105413837046902,-3.21726418266016,-1.4521283212046903,-1.5037130149546902,-1.4960714812046902,-1.5575193905796905,-1.5498494076601608,-1.5513644549546903,-2.04682986728594,-1.541179709711252,-1.4802730828854647,-1.6385940294581256,-1.380988748773752,-1.4627547444830231,-1.3898900077550005,-2.1267670183050016,-1.411575147211252,-1.4588351302784381,-1.4103596351080228,-1.498390924555002,-1.6544835772375512,-1.5950103172629801,-1.5409535458871924,-1.7077689073958762,-1.4157072866970113,-1.477081057986849,-1.424329961196076,-1.9249044863845115,-1.4457749402907614,-1.4913110779413885,-1.445746383377474,-1.5378340950563865,-1.6830445723981737,-1.752803616651189,-1.5760739174590637,-1.745517092992053,-1.4475332000789232,-1.5095276395083064,-1.4559594522679613,-1.9814107822273606,-1.4750556810750168,-1.5265303479734689,-1.4782420980336968,-1.5727166278660323,-1.7175079007423228,-1.6457475654269462,-1.6110109969640787,-1.781893558105388,-1.479048308026947,-1.5416771954085073,-1.4872230121146848,-2.0382217749478455,-1.506011979860443,-1.5594227596093928,-1.5104420153970328,-1.607364770727484,-1.7516784863770118,-1.697677204121209,-1.641623347940564,-1.6889691070119428,-1.5645171184065891,-1.656977959914331,-1.5155094828447164,-2.356051892917543,-1.5429075111760269,-1.588379283996368,-1.5390854041791087,-1.6575879510786276,-1.8176884860843534
17,Removal Costs,-0.00181126,-0.03439984,-0.64988739,-1.9187175299999997,-0.8147264500000001,-0.18036147000000002,-0.11485759999999999,-0.07566027,-0.30912839000000003,-2.2970047,-1.17899494,-0.08670569,-0.01450858,-0.08484235,-0.043622799999999996,-0.17608960999999998,-0.23928840999999998,-0.18018318,-0.10892961,-0.11392961,-2.3451746099999995,-0.35133661,-0.23995761,-1.3961022199999995,-0.09185116,-0.26733116,-0.6051355948,-0.56345016,-0.22142516,-0.1026986748,-0.12185116,-0.10185116,-0.9526474627999999,-1.3962699599999997,-0.09185116,-0.1362805828,-0.09026761,-0.09026761,-0.2872806383,-0.60975761,-0.29724761,-0.1658903383,-0.09026761,-0.09526761,-2.1074170477000003,-2.6153238099999996,-0.09026761,-0.2472062003,-0.09157141,-0.09157141,-0.36758415229999997,-0.9887974100000001,-0.41918741000000004,-0.1479769723,-0.22657141,-0.09157141,-1.5182308273,-2.67586427,-2.25858741,-0.8708001209,-0.09522378,-0.09522378,-0.35313049339999997,-0.55872378,-0.52022778,-0.1100205334,-0.09522378,-0.10042377999999999,-0.1021724934,-0.40292378,-0.34522378,-0.12865749340000002,-0.10586408,-0.41334408,-2.4173002924,-0.46211408,-0.47306992000000003,-0.1137120608,-0.12586408,-0.10586408,-0.18799314649999999,-0.42067425999999997,-0.15986408000000002,-0.1434781042
18,Fuel Handling,-1.5340937899999998,-1.3583950200000008,-1.3278033799999998,-1.4544055400000004,-1.5059042000000011,-1.2090276400000002,-1.2585912099999996,-1.10532289,-1.1797107799999995,-1.2086145999999998,-1.0524177500000003,-1.22855389,-1.2425316599999998,-1.0609261100000003,-1.1337319300000002,-1.4223588822222224,-1.3911468822222224,-1.3911468822222224,-1.3911468822222224,-1.3911468822222224,-1.4111468822222224,-1.3911468822222224,-1.3911468822222224,-1.4223588822222257,-1.5294011799999998,-1.4759421799999999,-1.5311255678,-1.57932243,-1.45248639,-1.5130304745,-1.45248639,-1.45248639,-1.4968914841,-1.5485474,-1.4535476,-1.5309510307999996,-1.45620666,-1.4017656600000001,-1.4444827249,-1.53923862,-1.4017656600000001,-1.4453400945000001,-1.4017656600000001,-1.4017656600000001,-1.4439653649000002,-1.5078480899999998,-1.40284809,-1.4789279574000003,-1.4500372200000002,-1.42773822,-1.4709987991,-1.56848564,-1.42773822,-1.4721206033,-1.42773822,-1.42773822,-1.4707131291,-1.5364672999999998,-1.4288422999999997,-1.5063802256999999,-1.4520816499999998,-1.45191565,-1.4957655494,-1.59601615,-1.45191565,-1.4971374843999998,-1.45191565,-1.45191565,-1.4956964793999998,-1.56335745,-1.45304182,-1.5320823094999998,-1.4960915399999999,-1.47109154,-1.5165179562,-1.61977431,-1.47224022,-1.5189264375,-1.49724022,-1.47224022,-1.5177010966,-1.58646242,-1.4733888999999998,-1.5545701478999998
19,Fixed Non-Labor Expense,5.4998296300000025,6.1038651600000025,6.737966100000001,13.233524030000003,9.155377580000009,6.103685159999999,6.613495169999998,5.961312460000002,5.725517860000003,15.522149250000004,6.611344549999997,7.806181579999999,4.9606993,5.258019020000002,6.4886946000000005,7.3110553198158,8.317851540771272,5.502564696815801,5.389525523065802,5.159950834315802,10.224146081190801,11.160237131271273,7.477638143065802,10.387353162897051,5.9035948392612525,5.447494029310465,6.904746713850875,8.011489142211252,6.972832610908024,6.29735814951475,6.131622324730002,6.722701401136252,9.347561720886812,10.889747354795523,7.6904110697300005,7.813817169391051,5.447055711241575,5.323966124472817,6.596775012020345,8.365810651705292,6.556682942822474,6.261391650242169,5.850599131220137,7.306420367313887,10.222326595197472,12.866220702039973,7.406404177860762,10.13074389145034,5.6997340044221545,5.484738546009327,6.783304868981558,8.23102705727491,6.744185399464819,6.985027809153328,6.170574962183874,7.271897276773718,10.724067476998455,13.413034487586803,10.805835919990514,10.588371390827529,5.6347558695321895,5.5834373742281,7.237247120806034,7.755123902863772,6.795736567363935,6.583220360856798,6.1554000169032745,5.473411483451613,6.767441542332504,9.049569395399907,6.171104931155081,8.37711290644896,5.786313593459844,8.680093956390948,11.765527243071269,10.352009854869095,9.442758730423407,6.500076318940286,6.472762373426618,5.558383706611737,6.764281681729959,9.163502377936815,6.054997698021674,8.303169037665505
